,name,group,ndbno
472,"Brussels sprouts, raw",Vegetables and Vegetable Products,11098
473,"Lentils, sprouted, raw",Vegetables and Vegetable Products,11248
476,"Radish seeds, sprouted, raw",Vegetables and Vegetable Products,11676
477,"Soybeans, mature seeds, sprouted, raw",Vegetables and Vegetable Products,11452
478,"Rice, brown, long-grain, raw",Cereal Grains and Pasta,20036
479,"Rice, brown, medium-grain, raw",Cereal Grains and Pasta,20040
480,"Rice, white, long-grain, regular, raw, enriched",Cereal Grains and Pasta,20044
481,"Rice, white, long-grain, regular, raw, unenriched",Cereal Grains and Pasta,20444
482,"Rice, white, medium-grain, raw, enriched",Cereal Grains and Pasta,20050
483,"Rice, white, medium-grain, raw, unenriched",Cereal Grains and Pasta,20450
484,"Rice, white, short-grain, raw, unenriched",Cereal Grains and Pasta,20452
485,"Wild rice, raw",Cereal Grains and Pasta,20088
486,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",Cereal Grains and Pasta,20324
487,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",Cereal Grains and Pasta,20024
488,"Wheat flours, bread, unenriched",Cereal Grains and Pasta,20129
489,"Wheat flour, white, all-purpose, enriched, bleached",Cereal Grains and Pasta,20081
490,"Wheat flour, white, all-purpose, enriched, calcium-fortified",Cereal Grains and Pasta,20381
491,"Wheat flour, white, all-purpose, enriched, unbleached",Cereal Grains and Pasta,20581
492,"Wheat flour, white, all-purpose, self-rising, enriched",Cereal Grains and Pasta,20082
493,"Wheat flour, white, all-purpose, unenriched",Cereal Grains and Pasta,20481
494,"Wheat flour, white, bread, enriched",Cereal Grains and Pasta,20083
495,"Wheat flour, white, cake, enriched",Cereal Grains and Pasta,20084
496,"Wheat flour, white (industrial), 9% protein, bleached, enriched",Cereal Grains and Pasta,20623
497,"Wheat flour, white (industrial), 10% protein, bleached, enriched",Cereal Grains and Pasta,20628
498,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",Cereal Grains and Pasta,20634
499,"Wheat flour, white (industrial), 13% protein, bleached, enriched",Cereal Grains and Pasta,20640
500,"Wheat flour, white (industrial), 15% protein, bleached, enriched",Cereal Grains and Pasta,20645
501,"Wheat flour, white (industrial), 9% protein, bleached, unenriched",Cereal Grains and Pasta,20624
502,"Wheat flour, white (industrial), 10% protein, bleached, unenriched",Cereal Grains and Pasta,20629
503,"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",Cereal Grains and Pasta,20635
504,"Wheat flour, white (industrial), 13% protein, bleached, unenriched",Cereal Grains and Pasta,20641
505,"Wheat flour, white (industrial), 15% protein, bleached, unenriched",Cereal Grains and Pasta,20646
506,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",Cereal Grains and Pasta,20630
507,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",Cereal Grains and Pasta,20636
508,"Wheat flour, white, tortilla mix, enriched",Cereal Grains and Pasta,20086
509,"Wheat flour, whole-grain",Cereal Grains and Pasta,20080
510,"Wheat flour, whole-grain, soft wheat",Cereal Grains and Pasta,20649
